,student,vak,activiteit,zaal,dag,tijdslot
0,81022997,Project Numerical Recipes,P2,C0.110,ma,9
1,73236988,Project Numerical Recipes,P2,C0.110,ma,9
2,13284244,Project Numerical Recipes,P2,C0.110,ma,9
3,60312776,Project Numerical Recipes,P2,C0.110,ma,9
4,32044893,Project Numerical Recipes,P2,C0.110,ma,9
5,48308205,Project Numerical Recipes,P2,C0.110,ma,9
6,88752563,Project Numerical Recipes,P2,C0.110,ma,9
7,12430748,Project Numerical Recipes,P2,C0.110,ma,9
8,28618400,Project Numerical Recipes,P2,C0.110,ma,9
9,40911986,Project Numerical Recipes,P2,C0.110,ma,9
10,7957843,Project Numerical Recipes,P2,C0.110,ma,9
11,2550487,Project Numerical Recipes,P2,C0.110,ma,9
12,6939933,Project Numerical Recipes,P2,C0.110,ma,9
13,34691309,Project Numerical Recipes,P2,C0.110,ma,9
14,32183908,Project Numerical Recipes,P2,C0.110,ma,9
15,10149535,Technology for games,W2,C0.110,di,9
16,37110913,Technology for games,W2,C0.110,di,9
17,26406342,Technology for games,W2,C0.110,di,9
18,58565406,Technology for games,W2,C0.110,di,9
19,43680781,Technology for games,W2,C0.110,di,9
20,69086548,Technology for games,W2,C0.110,di,9
21,14309255,Technology for games,W2,C0.110,di,9
22,77636749,Technology for games,W2,C0.110,di,9
23,21192048,Technology for games,W2,C0.110,di,9
24,97371272,Technology for games,W2,C0.110,di,9
25,4697362,Technology for games,W2,C0.110,di,9
26,14383795,Technology for games,W2,C0.110,di,9
27,7106649,Technology for games,W2,C0.110,di,9
28,12430748,Technology for games,W2,C0.110,di,9
29,70336464,Technology for games,W2,C0.110,di,9
30,77264363,Technology for games,W2,C0.110,di,9
31,75521763,Technology for games,W2,C0.110,di,9
32,36785409,Technology for games,W2,C0.110,di,9
33,89338938,Technology for games,W2,C0.110,di,9
34,1886996,Heuristieken 2,H1,C0.110,wo,9
35,99975346,Heuristieken 2,H1,C0.110,wo,9
36,51566595,Heuristieken 2,H1,C0.110,wo,9
37,5739011,Heuristieken 2,H1,C0.110,wo,9
38,48678993,Heuristieken 2,H1,C0.110,wo,9
